Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R8,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,115.93884,-73.0,270.0,bottom
R9,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,118.43884,-74.0,270.0,bottom
REF_1,MountingHole_3mm_Pad,MountingHole_3mm_Pad,165.0,-48.0,0.0,top
REF_2,MountingHole_3mm_Pad,MountingHole_3mm_Pad,112.0,-147.5,0.0,top
SW1,SW_Push,SW_SPST_TS-1088-xR025,168.43884,-130.0,-90.0,top
SW12,SW_Push,SW_SPST_TS-1088-xR020,165.43884,-58.0,180.0,bottom
SW2,SW_Push,SW_SPST_TS-1088-xR025,155.43884,-47.0,180.0,top
SW3,SW_Push,SW_SPST_TS-1088-xR025,123.93884,-47.0,0.0,top
SW4,SW_Push,SW_SPST_TS-1088-xR025,168.43884,-109.5,90.0,top
SW5,SW_Push,SW_SPST_TS-1088-xR025,111.43884,-130.5,-90.0,top
SW6,SW_Push,SW_SPST_TS-1088-xR020,150.93884,-58.0,0.0,bottom
SW7,SW_Push,SW_SPST_TS-1088-xR025,111.43884,-109.5,90.0,top
U2,BQ24074RGT,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,158.43884,-131.5,0.0,bottom
U3,AP2112K-3.3,SOT-23-5_HandSoldering,152.43884,-120.5,90.0,bottom
U4,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1,127.756482,-63.418861,315.0,bottom
